target,model,sources,outgroups,n_snp,chi2,dof,p,status
Eurasia_LGM_and_earlier,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475937,5648.473575405651,8,0.0,rejected
Eurasia_LGM_and_earlier,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475937,7499.27062512374,6,0.0,rejected
Eurasia_LGM_and_earlier,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,2430.63505140922,5,9.45114390168734e-236,rejected
Eurasia_LGM_and_earlier,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475937,2281.4242197224253,3,8.367174760258156e-200,rejected
Eurasia_LGM_and_earlier,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,2430.635051409222,6,1.5685225949574972e-245,rejected
Eurasia_Late_Glacial,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475937,4808.700155335213,8,0.0,rejected
Eurasia_Late_Glacial,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475937,4082.7539740094535,6,0.0,rejected
Eurasia_Late_Glacial,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,3684.0099179205854,5,2.095e-321,rejected
Eurasia_Late_Glacial,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475937,1648.2314448149634,3,2.9969629235255345e-157,rejected
Eurasia_Late_Glacial,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,4975.446075658795,6,0.0,rejected
