cohort	analysis	value
Sib_UP	TV_only_S3	-0.096171108648753
Sib_UP	no_selected_loci_S3	-0.11035641480236458
Sib_UP	S1_Yoruba_outgroup	30.18113564043107
Sib_LGM	TV_only_S3	-0.15911481063679422
Sib_LGM	no_selected_loci_S3	-0.14044157428116683
Sib_LGM	S1_Yoruba_outgroup	1.6154654414503622
Sib_Hol_early	TV_only_S3	-0.22098788412943443
Sib_Hol_early	no_selected_loci_S3	-0.19096323460644132
Sib_Hol_early	S1_Yoruba_outgroup	1.4340072638288215
Sib_Hol_late	TV_only_S3	-0.25482618002202684
Sib_Hol_late	no_selected_loci_S3	-0.2257238641209809
Sib_Hol_late	S1_Yoruba_outgroup	1.3284866070227046
AmBeringian	TV_only_S3	-0.2303305889524782
AmBeringian	no_selected_loci_S3	-0.22306498606427105
AmBeringian	S1_Yoruba_outgroup	0.9381551025929895
AmN_early	TV_only_S3	-0.17842278675803958
AmN_early	no_selected_loci_S3	-0.20071321957635413
AmN_early	S1_Yoruba_outgroup	1.0498449997184487
AmN_late	TV_only_S3	-0.265606090752999
AmN_late	no_selected_loci_S3	-0.26808660136210316
AmN_late	S1_Yoruba_outgroup	0.6047344237771352
AmMeso	TV_only_S3	-0.2362870103063034
AmMeso	no_selected_loci_S3	-0.24632211325613007
AmMeso	S1_Yoruba_outgroup	0.49613077442650316
AmCarib	TV_only_S3	-0.22019761526068615
AmCarib	no_selected_loci_S3	-0.24796721064965777
AmCarib	S1_Yoruba_outgroup	0.5528871964949943
AmS_early	TV_only_S3	-0.26320138184106323
AmS_early	no_selected_loci_S3	-0.2456801641273148
AmS_early	S1_Yoruba_outgroup	0.5621002001501116
AmS_late	TV_only_S3	-0.24560171915954143
AmS_late	no_selected_loci_S3	-0.2560600532206684
AmS_late	S1_Yoruba_outgroup	0.9952719155138557
EAsia_early	TV_only_S3	-0.32185517395612806
EAsia_early	no_selected_loci_S3	-0.30102094781752076
EAsia_early	S1_Yoruba_outgroup	-0.1931096852600157
EAsia_late	TV_only_S3	-0.367179402381983
EAsia_late	no_selected_loci_S3	-0.33252905365233565
EAsia_late	S1_Yoruba_outgroup	0.7749302388625282
Jomon	TV_only_S3	-0.27203109515973
Jomon	no_selected_loci_S3	-0.24506975907588224
Jomon	S1_Yoruba_outgroup	-0.02370251093881026
Karitiana	TV_only_S3	-0.2099483228531468
Karitiana	no_selected_loci_S3	-0.2283724216141999
Karitiana	S1_Yoruba_outgroup	1.3502671045891739
Papuan	TV_only_S3	0.4559576347954468
Papuan	no_selected_loci_S3	0.4011475135422087
Papuan	S1_Yoruba_outgroup	8.048301748787509
Han	TV_only_S3	-0.4559576347954468
Han	no_selected_loci_S3	-0.4011475135422088
Han	S1_Yoruba_outgroup	0.41659209410707604
French	TV_only_S3	-0.182014902237907
French	no_selected_loci_S3	-0.18081092493325202
French	S1_Yoruba_outgroup	1.067100988828612
AmS_early	LOCO_chr1	-0.2456801641273148
AmS_early	LOCO_chr2	-0.2702994925763932
AmS_early	LOCO_chr3	-0.2456801641273148
AmS_early	LOCO_chr4	-0.24944005567743222
AmS_early	LOCO_chr5	-0.2456801641273148
AmS_early	LOCO_chr6	-0.23162876201552263
AmS_early	LOCO_chr7	-0.2456801641273148
AmS_early	LOCO_chr8	-0.25853908024910266
AmS_early	LOCO_chr9	-0.2456801641273148
AmS_early	LOCO_chr10	-0.24455235557254168
AmS_early	LOCO_chr11	-0.2456801641273148
AmS_early	LOCO_chr12	-0.2469193628742623
AmS_early	LOCO_chr13	-0.2456801641273148
AmS_early	LOCO_chr14	-0.23712803866988375
AmS_early	LOCO_chr15	-0.2456801641273148
AmS_early	LOCO_chr16	-0.2335767382391465
AmS_early	LOCO_chr17	-0.2456801641273148
AmS_early	LOCO_chr18	-0.24858205447643544
AmS_early	LOCO_chr19	-0.2456801641273148
AmS_early	LOCO_chr20	-0.24055099461999996
AmS_early	LOCO_chr21	-0.2456801641273148
AmS_early	LOCO_chr22	-0.24426433236633488
AmN_early	LOCO_chr1	-0.20071321957635413
AmN_early	LOCO_chr2	-0.20602827416968955
AmN_early	LOCO_chr3	-0.20071321957635413
AmN_early	LOCO_chr4	-0.21964764809528242
AmN_early	LOCO_chr5	-0.20071321957635413
AmN_early	LOCO_chr6	-0.18679304730358676
AmN_early	LOCO_chr7	-0.20071321957635413
AmN_early	LOCO_chr8	-0.2119839827011576
AmN_early	LOCO_chr9	-0.20071321957635413
AmN_early	LOCO_chr10	-0.19509316538720628
AmN_early	LOCO_chr11	-0.20071321957635413
AmN_early	LOCO_chr12	-0.1952911558085657
AmN_early	LOCO_chr13	-0.20071321957635413
AmN_early	LOCO_chr14	-0.19229712880119953
AmN_early	LOCO_chr15	-0.20071321957635413
AmN_early	LOCO_chr16	-0.1864870907929126
AmN_early	LOCO_chr17	-0.20071321957635413
AmN_early	LOCO_chr18	-0.21155483213984666
AmN_early	LOCO_chr19	-0.20071321957635413
AmN_early	LOCO_chr20	-0.20106790656567486
AmN_early	LOCO_chr21	-0.20071321957635413
AmN_early	LOCO_chr22	-0.20247919232448758
Sib_UP	LOCO_chr1	-0.11035641480236458
Sib_UP	LOCO_chr2	-0.12542341863511908
Sib_UP	LOCO_chr3	-0.11035641480236458
Sib_UP	LOCO_chr4	-0.11103787531197862
Sib_UP	LOCO_chr5	-0.11035641480236458
Sib_UP	LOCO_chr6	-0.10278680690110031
Sib_UP	LOCO_chr7	-0.11035641480236458
Sib_UP	LOCO_chr8	-0.12467738762618652
Sib_UP	LOCO_chr9	-0.11035641480236458
Sib_UP	LOCO_chr10	-0.11410606604466733
Sib_UP	LOCO_chr11	-0.11035641480236458
Sib_UP	LOCO_chr12	-0.11262396549270659
Sib_UP	LOCO_chr13	-0.11035641480236458
Sib_UP	LOCO_chr14	-0.10189160320192936
Sib_UP	LOCO_chr15	-0.11035641480236458
Sib_UP	LOCO_chr16	-0.09517020659321185
Sib_UP	LOCO_chr17	-0.11035641480236458
Sib_UP	LOCO_chr18	-0.11229404948135313
Sib_UP	LOCO_chr19	-0.11035641480236458
Sib_UP	LOCO_chr20	-0.11170101132472621
Sib_UP	LOCO_chr21	-0.11035641480236458
Sib_UP	LOCO_chr22	-0.10475408235620365
Sib_LGM	LOCO_chr1	-0.14044157428116683
Sib_LGM	LOCO_chr2	-0.13665842453211297
Sib_LGM	LOCO_chr3	-0.14044157428116683
Sib_LGM	LOCO_chr4	-0.14913877516586943
Sib_LGM	LOCO_chr5	-0.14044157428116683
Sib_LGM	LOCO_chr6	-0.12432339816671972
Sib_LGM	LOCO_chr7	-0.14044157428116683
Sib_LGM	LOCO_chr8	-0.16145747589879217
Sib_LGM	LOCO_chr9	-0.14044157428116683
Sib_LGM	LOCO_chr10	-0.14168801300894968
Sib_LGM	LOCO_chr11	-0.14044157428116683
Sib_LGM	LOCO_chr12	-0.14756397884695194
Sib_LGM	LOCO_chr13	-0.14044157428116683
Sib_LGM	LOCO_chr14	-0.13535362733496858
Sib_LGM	LOCO_chr15	-0.14044157428116683
Sib_LGM	LOCO_chr16	-0.1312959611369759
Sib_LGM	LOCO_chr17	-0.14044157428116683
Sib_LGM	LOCO_chr18	-0.1395806205233706
Sib_LGM	LOCO_chr19	-0.14044157428116683
Sib_LGM	LOCO_chr20	-0.13995469260685306
Sib_LGM	LOCO_chr21	-0.14044157428116683
Sib_LGM	LOCO_chr22	-0.13851146658588542
Karitiana	LOCO_chr1	-0.2283724216141999
Karitiana	LOCO_chr2	-0.24217815444128138
Karitiana	LOCO_chr3	-0.2283724216141999
Karitiana	LOCO_chr4	-0.2351406709835236
Karitiana	LOCO_chr5	-0.2283724216141999
Karitiana	LOCO_chr6	-0.20698459953549536
Karitiana	LOCO_chr7	-0.2283724216141999
Karitiana	LOCO_chr8	-0.24232020991408076
Karitiana	LOCO_chr9	-0.2283724216141999
Karitiana	LOCO_chr10	-0.23259235715739796
Karitiana	LOCO_chr11	-0.2283724216141999
Karitiana	LOCO_chr12	-0.22782587271904925
Karitiana	LOCO_chr13	-0.2283724216141999
Karitiana	LOCO_chr14	-0.22052530725740216
Karitiana	LOCO_chr15	-0.2283724216141999
Karitiana	LOCO_chr16	-0.21968020107413067
Karitiana	LOCO_chr17	-0.2283724216141999
Karitiana	LOCO_chr18	-0.23190011672233923
Karitiana	LOCO_chr19	-0.2283724216141999
Karitiana	LOCO_chr20	-0.22883731343468727
Karitiana	LOCO_chr21	-0.2283724216141999
Karitiana	LOCO_chr22	-0.2258047618197246
Papuan	LOCO_chr1	0.4011475135422087
Papuan	LOCO_chr2	0.40521828131421767
Papuan	LOCO_chr3	0.4011475135422087
Papuan	LOCO_chr4	0.40820126102453724
Papuan	LOCO_chr5	0.4011475135422087
Papuan	LOCO_chr6	0.38484139956282015
Papuan	LOCO_chr7	0.4011475135422087
Papuan	LOCO_chr8	0.4182778277577769
Papuan	LOCO_chr9	0.4011475135422087
Papuan	LOCO_chr10	0.40492994259259774
Papuan	LOCO_chr11	0.4011475135422087
Papuan	LOCO_chr12	0.3991717198304018
Papuan	LOCO_chr13	0.4011475135422087
Papuan	LOCO_chr14	0.401530263931573
Papuan	LOCO_chr15	0.4011475135422087
Papuan	LOCO_chr16	0.3902202050998468
Papuan	LOCO_chr17	0.4011475135422087
Papuan	LOCO_chr18	0.3989617855575144
Papuan	LOCO_chr19	0.4011475135422087
Papuan	LOCO_chr20	0.39955199357225624
Papuan	LOCO_chr21	0.4011475135422087
Papuan	LOCO_chr22	0.40248105125327716
Han	LOCO_chr1	-0.4011475135422088
Han	LOCO_chr2	-0.40521828131421767
Han	LOCO_chr3	-0.4011475135422088
Han	LOCO_chr4	-0.40820126102453724
Han	LOCO_chr5	-0.4011475135422088
Han	LOCO_chr6	-0.38484139956282015
Han	LOCO_chr7	-0.4011475135422088
Han	LOCO_chr8	-0.4182778277577769
Han	LOCO_chr9	-0.4011475135422088
Han	LOCO_chr10	-0.40492994259259785
Han	LOCO_chr11	-0.4011475135422088
Han	LOCO_chr12	-0.3991717198304017
Han	LOCO_chr13	-0.4011475135422088
Han	LOCO_chr14	-0.401530263931573
Han	LOCO_chr15	-0.4011475135422088
Han	LOCO_chr16	-0.390220205099847
Han	LOCO_chr17	-0.4011475135422088
Han	LOCO_chr18	-0.3989617855575144
Han	LOCO_chr19	-0.4011475135422088
Han	LOCO_chr20	-0.39955199357225624
Han	LOCO_chr21	-0.4011475135422088
Han	LOCO_chr22	-0.40248105125327716
AmS_early	perchrom_2	-0.12863490975797842
AmS_early	perchrom_4	-0.21430552650203577
AmS_early	perchrom_6	-0.3253284712659635
AmS_early	perchrom_8	-0.17094802698396527
AmS_early	perchrom_10	-0.2606764245611569
AmS_early	perchrom_12	-0.2324748816215531
